Track Name,Genre,Duration,BPM,Key,Energy Level,Danceability,Popularity
ABBA - Gimme! Gimme! Gimme! (A Man After Midnight),Disco,296,120,A Minor,85,75,95
The Beach Boys - Good Vibrations,Pop Rock,217,152,E Minor,80,60,97
The Cars - Moving in Stereo,New Wave,277,118,G Minor,70,65,85
Chris Brown - Kiss Kiss (feat. T-Pain),R&B,243,134,C Major,88,82,90
"Dr. Dre - Nuthin' But A ""G"" Thang",Hip-Hop,242,94,G Minor,75,80,93
Duran Duran - Is There Something I Should Know?,New Wave,242,125,C Major,78,70,88
Duran Duran - Serious,New Wave,234,123,A Major,76,68,75
Emery - The Party Song,Post-Hardcore,210,150,E Minor,90,50,60
Eminem - Drug Ballad,Hip-Hop,299,92,C Minor,80,75,85
Faith Hill - This Kiss,Country Pop,215,108,B Major,88,70,87
Gotye - Somebody That I Used To Know,Indie Pop,244,129,D Minor,65,55,99
Heart - Straight On,Rock,330,112,A Minor,85,60,80
Ice Cube - Friday,Hip-Hop,210,92,G Major,78,75,85
Joan Red - You Be The Hero,Alternative Rock,230,105,D Minor,85,65,60
Michael Jackson - Dirty Diana,Pop Rock,278,148,A Minor,95,70,98
